市区町村コード,都道府県,市区町村,団体コード
01000,北海道,,010006
01100,北海道,札幌市,011002
01101,北海道,札幌市中央区,011011
01102,北海道,札幌市北区,011029
01103,北海道,札幌市東区,011037
01104,北海道,札幌市白石区,011045
01105,北海道,札幌市豊平区,011053
01106,北海道,札幌市南区,011061
01107,北海道,札幌市西区,011070
01108,北海道,札幌市厚別区,011088
01109,北海道,札幌市手稲区,011096
01110,北海道,札幌市清田区,011100
01202,北海道,函館市,012025
01203,北海道,小樽市,012033
01204,北海道,旭川市,012041
01205,北海道,室蘭市,012050
01206,北海道,釧路市,012068
01207,北海道,帯広市,012076
01208,北海道,北見市,012084
01209,北海道,夕張市,012092
01210,北海道,岩見沢市,012106
01211,北海道,網走市,012114
01212,北海道,留萌市,012122
01213,北海道,苫小牧市,012131
01214,北海道,稚内市,012149
01215,北海道,美唄市,012157
01216,北海道,芦別市,012165
01217,北海道,江別市,012173
01218,北海道,赤平市,012181
01219,北海道,紋別市,012190
01220,北海道,士別市,012203
01221,北海道,名寄市,012211
01222,北海道,三笠市,012220
01223,北海道,根室市,012238
01224,北海道,千歳市,012246
01225,北海道,滝川市,012254
01226,北海道,砂川市,012262
01227,北海道,歌志内市,012271
01228,北海道,深川市,012289
01229,北海道,富良野市,012297
01230,北海道,登別市,012301
01231,北海道,恵庭市,012319
01233,北海道,伊達市,012335
01234,北海道,北広島市,012343
01235,北海道,石狩市,012351
01236,北海道,北斗市,012360
01303,北海道,当別町,013030
01304,北海道,新篠津村,013048
01331,北海道,松前町,013315
01332,北海道,福島町,013323
01333,北海道,知内町,013331
01334,北海道,木古内町,013340
01337,北海道,七飯町,013374
01343,北海道,鹿部町,013439
01345,北海道,森町,013455
01346,北海道,八雲町,013463
01347,北海道,長万部町,013471
01361,北海道,江差町,013617
01362,北海道,上ノ国町,013625
01363,北海道,厚沢部町,013633
01364,北海道,乙部町,013641
01367,北海道,奥尻町,013676
01370,北海道,今金町,013706
01371,北海道,せたな町,013714
01391,北海道,島牧村,013919
01392,北海道,寿都町,013927
01393,北海道,黒松内町,013935
01394,北海道,蘭越町,013943
01395,北海道,ニセコ町,013951
01396,北海道,真狩村,013960
01397,北海道,留寿都村,013978
01398,北海道,喜茂別町,013986
01399,北海道,京極町,013994
01400,北海道,倶知安町,014001
01401,北海道,共和町,014010
01402,北海道,岩内町,014028
01403,北海道,泊村,014036
01404,北海道,神恵内村,014044
01405,北海道,積丹町,014052
01406,北海道,古平町,014061
01407,北海道,仁木町,014079
01408,北海道,余市町,014087
01409,北海道,赤井川村,014095
01423,北海道,南幌町,014231
01424,北海道,奈井江町,014249
01425,北海道,上砂川町,014257
01427,北海道,由仁町,014273
01428,北海道,長沼町,014281
01429,北海道,栗山町,014290
01430,北海道,月形町,014303
01431,北海道,浦臼町,014311
01432,北海道,新十津川町,014320
01433,北海道,妹背牛町,014338
01434,北海道,秩父別町,014346
01436,北海道,雨竜町,014362
01437,北海道,北竜町,014371
01438,北海道,沼田町,014389
01452,北海道,鷹栖町,014524
01453,北海道,東神楽町,014532
01454,北海道,当麻町,014541
01455,北海道,比布町,014559
01456,北海道,愛別町,014567
01457,北海道,上川町,014575
01458,北海道,東川町,014583
01459,北海道,美瑛町,014591
01460,北海道,上富良野町,014605
01461,北海道,中富良野町,014613
01462,北海道,南富良野町,014621
01463,北海道,占冠村,014630
01464,北海道,和寒町,014648
01465,北海道,剣淵町,014656
01468,北海道,下川町,014681
01469,北海道,美深町,014699
